year_number,month_number,month_name,review_count,listings_reviewed,unique_reviewers,average_review_length
2025,1,January,545,183,537,189.77
2025,2,February,544,183,531,185.72
2025,3,March,531,174,513,183.61
2025,4,April,621,225,608,193.43
2025,5,May,646,239,625,168.31
2025,6,June,601,214,583,195.3
2025,7,July,700,277,679,179.14
2025,8,August,793,297,767,194.73
2025,9,September,713,252,691,171.16
2025,10,October,808,327,775,182.65
2025,11,November,682,248,661,168.45
2025,12,December,640,251,621,190.6
2026,1,January,886,283,864,173.99
2026,2,February,847,298,816,174.12
2026,3,March,933,286,903,197.14
2026,4,April,800,261,780,183.73
2026,5,May,779,279,739,169.46
2026,6,June,545,216,528,194.46
