host_id,listing_count,host_rank,cumulative_listing_count,cumulative_listing_share_percentage,cumulative_host_share_percentage
138649185,215,1,215,6.942202131094607,0.13123359580052493
238891646,131,2,346,11.17210203422667,0.26246719160104987
2413412,91,3,437,14.11042944785276,0.39370078740157477
8948251,73,4,510,16.467549241201162,0.5249343832020997
109333133,73,5,583,18.824669034549565,0.6561679790026247
23336011,71,6,654,21.11721020342267,0.7874015748031495
46685310,71,7,725,23.40975137229577,0.9186351706036745
10248444,64,8,789,25.47626735550533,1.0498687664041995
61619807,60,9,849,27.413626089764286,1.1811023622047243
97878860,59,10,908,29.3186955117856,1.3123359580052494
24496358,53,11,961,31.030029060381015,1.4435695538057742
300765938,52,12,1013,32.70907329673878,1.574803149606299
68059127,50,13,1063,34.323538908621245,1.7060367454068242
1439258,44,14,1107,35.74426864707782,1.837270341207349
201775246,44,15,1151,37.16499838553439,1.968503937007874
404487343,43,16,1194,38.55343881175331,2.099737532808399
2676835,35,17,1229,39.683564740071034,2.2309711286089238
148161755,26,18,1255,40.52308685824992,2.3622047244094486
108773366,24,19,1279,41.2980303519535,2.493438320209974
101145755,19,20,1298,41.91152728446884,2.6246719160104988
337002461,18,21,1316,42.49273490474653,2.7559055118110236
25185912,18,22,1334,43.073942525024215,2.8871391076115485
292133113,17,23,1351,43.62286083306425,3.0183727034120733
108946090,17,24,1368,44.171779141104295,3.149606299212598
111065775,16,25,1384,44.68840813690668,3.2808398950131235
50965838,16,26,1400,45.20503713270907,3.4120734908136483
545750991,15,27,1415,45.689376816273814,3.543307086614173
524793962,14,28,1429,46.141427187600904,3.674540682414698
1706906098815333930,14,29,1443,46.593477558927994,3.805774278215223
474773234,14,30,1457,47.04552793025509,3.937007874015748
735971860,14,31,1471,47.49757830158218,4.0682414698162725
13468566,12,32,1483,47.88505004843397,4.199475065616798
575534036,12,33,1495,48.27252179528576,4.330708661417323
46515276,12,34,1507,48.659993542137556,4.4619422572178475
25375339,12,35,1519,49.04746528898934,4.593175853018373
55844797,12,36,1531,49.43493703584114,4.724409448818897
29032695,12,37,1543,49.82240878269293,4.8556430446194225
109741357,11,38,1554,50.17759121730707,4.986876640419948
