dataset,column_name,data_type,row_count,null_count,null_percentage,unique_count,sample_values,minimum,maximum,mean
Calendar,listing_id,int64,1185155,0,0.0,3247,71609 | 71896 | 71903,71609.0,1.7168778693595476e+18,7.228867679654966e+17
Calendar,date,str,1185155,0,0.0,368,2026-07-02 | 2026-07-03 | 2026-07-04,,,
Calendar,available,str,1185155,0,0.0,2,f | t,,,
Calendar,minimum_nights,int64,1185155,0,0.0,46,92 | 93 | 730,1.0,730.0,50.22
Calendar,maximum_nights,int64,1185155,0,0.0,388,1125 | 180 | 730,1.0,9999.0,652.74
