dataset,column_name,data_type,row_count,null_count,null_percentage,unique_count,sample_values,minimum,maximum,mean
Summary Reviews,listing_id,int64,41265,0,0.0,1839,71609 | 71896 | 71903,71609.0,1.6758613550476716e+18,3.324450613762373e+17
Summary Reviews,date,str,41265,0,0.0,4469,2011-12-19 | 2012-07-17 | 2012-09-01,,,
