dataset,column_name,data_type,row_count,null_count,null_percentage,unique_count,sample_values,minimum,maximum,mean
Neighbourhoods,neighbourhood_group,str,55,0,0.0,5,Central Region | East Region | North-East Region,,,
Neighbourhoods,neighbourhood,str,55,0,0.0,55,Bishan | Bukit Merah | Bukit Timah,,,
