host_id,host_is_superhost,average_host_rating,rated_listing_count
228867,False,4.0,1
367042,False,4.522,5
437092,False,4.65,1
696093,False,4.83,1
800558,False,4.55,4
1170341,True,4.9366666666666665,3
1289033,False,4.5,1
1439258,False,4.4090625,32
1521514,False,4.481428571428571,7
1529439,True,5.0,2
1563123,False,5.0,1
1584407,False,4.695,4
1901820,False,4.69,1
1975201,False,4.31,1
2235699,False,5.0,1
2327208,False,4.7,1
2327574,False,4.1,2
2351356,False,4.835,2
2413412,False,4.58109756097561,82
2594443,False,4.9,1
2676835,False,4.785714285714286,7
2803932,False,4.63,1
3162951,False,5.0,1
3222935,False,1.0,1
3234859,False,4.79,2
3437228,False,4.57,2
3589987,False,4.75,1
3621802,False,4.29,1
3748166,False,4.83,1
3926646,False,4.566666666666666,3
3951127,False,5.0,2
3989090,False,5.0,1
4080706,False,5.0,1
4360831,False,5.0,1
4422603,False,4.89,1
4430782,False,5.0,1
4604183,False,4.85,1
4705949,False,4.905,2
4723385,False,4.87,1
4725831,False,4.404999999999999,2
4837194,False,4.71,1
5092893,False,4.57,1
5423329,False,4.859999999999999,2
5556667,False,5.0,1
5643415,False,4.84,1
6170589,False,4.67,1
6689302,False,5.0,1
7210103,False,4.896,5
7642747,False,4.93,1
7948331,False,4.45,1
7993224,False,4.7,1
8948251,False,4.524181818181819,55
8978331,False,4.833333333333333,3
9293170,False,4.0,2
9410772,False,5.0,1
9453430,False,4.67,1
9748143,False,4.63,1
9899270,False,4.9325,4
9900768,False,4.67,1
9985120,False,4.33,1
10248444,False,4.453055555555555,36
10463855,False,4.92,1
10756571,False,4.56,1
10823332,False,5.0,1
11248671,False,5.0,1
11390076,False,4.3525,8
11463785,False,4.922857142857143,7
12083856,False,4.970000000000001,2
12422759,False,4.25,1
12569371,False,5.0,1
13468566,False,4.87,12
14772745,True,5.0,1
15040015,False,4.56,1
15257023,False,5.0,1
16193608,False,5.0,1
16689899,False,5.0,1
16689958,False,4.75,1
17526618,False,4.4,4
20715591,False,4.8,2
21149720,False,4.5,1
21378632,False,4.0,1
22176293,False,4.94,1
22273315,False,2.0,1
22554193,False,4.0,1
22595027,False,4.39,1
22875236,False,4.69,1
23053315,False,5.0,1
23054922,False,5.0,1
23336011,True,4.7945161290322575,62
23874147,False,4.653333333333333,3
24038248,False,4.81,4
24353373,False,5.0,1
24476285,False,5.0,2
24496358,True,4.824418604651163,43
25151260,False,4.75,1
25185912,True,4.680769230769231,13
25375339,False,3.99625,8
25668648,False,5.0,1
25672695,False,5.0,1
26899710,False,4.835,2
28489587,False,4.8,1
28809566,False,4.36,4
28816757,True,5.0,1
28895367,False,4.77,1
29032695,False,4.416363636363636,11
30080617,False,4.848333333333334,6
30613375,False,4.9,1
31583707,False,4.98,2
31975096,False,5.0,1
32232191,False,5.0,3
32683666,False,4.8,1
33003286,False,4.965,2
33096269,False,4.5,10
33944993,False,4.78,1
34649530,False,4.866666666666666,3
36416351,False,4.84,1
36773968,False,2.0,1
37512810,False,4.5,1
37964493,False,3.91,5
38753656,False,4.5,2
38761662,False,4.23,1
38934778,False,4.91,1
40912923,False,4.76,1
41234655,False,5.0,1
41383223,False,5.0,1
42295661,False,4.8,5
43780531,False,4.0,1
44250196,False,4.665,2
44321809,False,4.67,1
46116154,False,4.84,1
46515276,False,4.485454545454545,11
46545593,False,4.114,5
46685310,False,4.507179487179487,39
47611818,False,5.0,1
47682311,False,4.435,4
48018398,False,5.0,1
48437716,False,2.0,1
48641401,True,5.0,1
48751387,False,5.0,1
48909975,False,5.0,1
49380207,False,4.758571428571429,7
50158481,False,4.843999999999999,5
50965838,True,4.807142857142857,14
51312096,False,4.0,1
51481829,False,4.866666666666666,3
52494253,False,4.75,1
55844797,False,4.858,10
55973390,False,4.33,1
56265371,False,5.0,1
56421978,False,4.71,1
57612875,False,4.81,1
59882845,False,4.84,1
60720370,False,4.84,1
61230299,False,4.89,1
61619807,False,4.37075,40
63152849,False,4.87,1
63217724,False,4.91,1
65322694,False,4.85,1
65679130,False,4.239999999999999,3
65982503,False,5.0,1
66406177,False,5.0,1
66443986,False,5.0,1
68059127,True,4.805641025641025,39
69121685,False,4.0425,4
73166292,False,4.86,1
74792612,False,5.0,1
78080643,False,4.720000000000001,2
78364359,False,4.86,1
78727517,False,4.67,1
83878917,False,4.12,1
84411185,False,4.8,1
84590945,False,5.0,2
84863690,False,5.0,1
84942477,True,5.0,1
86278590,False,4.84,1
91224988,False,5.0,1
92189808,False,5.0,1
92626981,False,5.0,1
94903993,False,5.0,1
96718721,False,1.0,1
97878860,False,4.55,40
100474068,False,4.97,1
101145755,False,4.314666666666667,15
101940767,False,4.33,1
102007408,False,4.5,1
102052937,False,4.75,1
103692249,False,5.0,1
105546293,False,4.5,1
107909050,False,4.0,1
108219571,False,4.46,1
108417270,False,4.6066666666666665,3
108476315,False,4.65,2
108773366,False,4.2178571428571425,14
108946090,False,4.621538461538462,13
109043317,False,5.0,1
109333133,False,4.5775,40
109545738,False,5.0,1
109741357,True,4.8340000000000005,10
111065775,False,4.435,16
118496059,True,5.0,6
119614575,False,4.71,1
119740557,False,4.0,1
121666882,False,5.0,3
122620134,False,5.0,1
122991242,False,5.0,1
124238686,False,4.725,2
124516401,False,4.688571428571429,7
124827904,False,4.8,1
125437217,False,4.666666666666667,3
127346104,False,4.96,1
128465640,False,4.82,1
129356836,False,4.5,1
131052744,True,4.95,1
135298846,False,4.817142857142857,7
136518035,False,2.5,1
137302887,False,5.0,1
138468223,False,4.465,4
138649185,False,4.675714285714285,56
142217058,True,4.91,1
142727817,False,4.64,1
144358326,False,4.79,1
