group,observations,mean,median,standard_deviation,first_quartile,third_quartile,skewness
Superhost,41,4.8375,4.895,0.1777,4.7614,5.0,-1.3032
Non-Superhost,363,4.519,4.695,0.6268,4.3875,4.9363,-2.5977
