group,observations,mean,median,standard_deviation,first_quartile,third_quartile,skewness
Entire home/apt,1092,312.5563,214.11,633.6622,107.1325,346.0,15.4295
Private room,1509,134.1211,93.87,152.8646,26.11,179.0,3.3788
