group,observations,mean,median,standard_deviation,first_quartile,third_quartile,skewness
More than 10 reviews,473,167.9433,125.84,179.212,54.0,212.0,4.0303
10 or fewer reviews,2269,211.8048,130.96,460.9749,43.76,260.4,19.8658
